Product,"Crop And Animal Production, Hunting And Related Service Activities ",Forestry And Logging ,Fishing And Aquaculture ,Mining Of Coal And Lignite ,Extraction Of Crude Petroleum And Natural Gas & Mining Of Metal Ores,Other Mining And Quarrying ,Mining Support Service Activities ,Processing and preserving of meat and production of meat products,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",Manufacture of vegetable and animal oils and fats,Manufacture of dairy products,"Manufacture of grain mill products, starches and starch products",Manufacture of bakery and farinaceous products,Manufacture of other food products,Manufacture of prepared animal feeds,Manufacture of alcoholic beverages & Tobacco Products,Manufacture of soft drinks; production of mineral waters and other bottled waters,Manufacture Of Textiles ,Manufacture Of Wearing Apparel ,Manufacture Of Leather And Related Products ,"Manufacture Of Wood & Products Of Wood & Cork, Except Furniture; Manuf. Of Articles Of Straw",Manufacture Of Paper And Paper Products ,Printing And Reproduction Of Recorded Media ,Manufacture Of Coke And Refined Petroleum Products ,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",Manufacture of petrochemicals - 20.14/16/17/60,"Manufacture of dyestuffs, agro-chemicals - 20.12/20","Manufacture of paints, varnishes and similar coatings, printing ink and mastics","Manufacture of soap & detergents, cleaning & polishing, perfumes & toilet preparations",Manufacture of other chemical products,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,Manufacture Of Rubber And Plastic Products ,"Manufacture of glass, refractory, clay, porcelain, ceramic, stone products - 23.1-4/7-9","Manufacture of cement, lime, plaster and articles of concrete, cement and plaster",Manufacture of basic iron and steel,Manufacture of other basic metals and casting,"Manufacture of fabricated metal products, excluding weapons & ammunition - 25.1-3/5-9",Manufacture of weapons and ammunition,"Manufacture Of Computer, Electronic And Optical Products ",Manufacture Of Electrical Equipment ,Manufacture Of Machinery And Equipment N.E.C. ,"Manufacture Of Motor Vehicles, Trailers And Semi-Trailers ",Building of ships and boats,Manufacture of air and spacecraft and related machinery,Manufacture of other transport equipment - 30.2/4/9,Manufacture Of Furniture ,Other Manufacturing ,Repair and maintenance of ships and boats,Repair and maintenance of aircraft and spacecraft,Rest of repair; Installation - 33.11-14/17/19/20,"Electric power generation, transmission and distribution",Manufacture of gas; distribution of gaseous fuels through mains; steam and aircon supply,"Water Collection, Treatment And Supply ",Sewerage ,"Waste Collection, Treatment And Disposal Activities; Materials Recovery ",Remediation Activities And Other Waste Management Services ,Construction,Wholesale And Retail Trade And Repair Of Motor Vehicles And Motorcycles ,"Wholesale Trade, Except Of Motor Vehicles And Motorcycles ","Retail Trade, Except Of Motor Vehicles And Motorcycles ",Rail transport,"Land transport services and transport services via pipelines, excluding rail transport",Water Transport ,Air Transport ,Warehousing And Support Activities For Transportation ,Postal And Courier Activities ,Accommodation ,Food And Beverage Service Activities ,Publishing Activities ,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Telecommunications ,"Computer Programming, Consultancy And Related Activities ",Information Service Activities ,"Financial Service Activities, Except Insurance And Pension Funding ","Insurance, reinsurance and pension funding services, except compulsory social security",Activities Auxiliary To Financial Services And Insurance Activities ,"Buying and selling, renting and operating of own or leased real estate, excluding imputed rent",Owner-Occupiers' Housing,Real estate services on a fee or contract basis ,Legal activities ,"Accounting, bookkeeping and auditing activities; tax consultancy ",Activities Of Head Offices; Management Consultancy Activities ,Architectural And Engineering Activities; Technical Testing And Analysis ,Scientific Research And Development ,Advertising And Market Research ,"Other Professional, Scientific And Technical Activities ",Veterinary Activities ,Rental And Leasing Activities ,Employment Activities ,"Travel Agency, Tour Operator And Other Reservation Service And Related Activities ",Security And Investigation Activities ,Services To Buildings And Landscape Activities ,"Office Administrative, Office Support And Other Business Support Activities ",Public Administration And Defence; Compulsory Social Security ,Education ,Human Health Activities,Residential Care & Social Work Activities,"Creative, Arts And Entertainment Activities ","Libraries, Archives, Museums And Other Cultural Activities ",Gambling And Betting Activities ,Sports Activities And Amusement And Recreation Activities ,Activities Of Membership Organisations ,Repair Of Computers And Personal And Household Goods ,Other Personal Service Activities ,Activities Of Households As Employers Of Domestic Personnel ,"Waste Collection, Treatment And Disposal Activities; Materials Recovery non-market","Land transport services and transport services via pipelines, excluding rail transport non-market",Warehousing And Support Activities For Transportation non-market,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities non-market",Public Administration And Defence; Compulsory Social Security non-market,Education non-market,Human Health Activities non-market,Residential Care & Social Work Activities non-market,"Creative, Arts And Entertainment Activities non-market","Libraries, Archives, Museums And Other Cultural Activities non-market",Sports Activities And Amusement And Recreation Activities non-market,Financial Services NPISH,Real Estate services NPISH,Legal services NPISH,Scientific Research And Development NPISH,Veterinary Activities NPISH,Services To Buildings And Landscape Activities NPISH,Education NPISH,Human Health Activities NPISH,Residential Care & Social Work Activities NPISH,"Creative, Arts And Entertainment Activities NPISH","Libraries, archives, museums and other cultural services NPISH",Sports Activities And Amusement And Recreation Activities NPISH,Activities Of Membership Organisations NPISH,Total Intermediate Demand,Households,PublicSector,Non-Profit Institutions Serving Households,Central Government,Local Authorities,Gross Fixed Capital Formation,Valuables,Changes in Inventories,Exports of Goods - EU,Exports of Goods - Non EU,Exports of Services - EU,Exports of Services - Non EU,Total Exports,Total Demand for Products at Basic Prices
"Crop And Animal Production, Hunting And Related Service Activities ",2203,10,0,0,0,0,0,3147,803,139,2595,650,205,541,566,67,63,0,0,5,1,0,0,0,1,2,0,0,44,7,49,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,127,11,235,93,0,19,3,0,0,0,243,528,0,7,1,14,0,0,0,0,27,0,0,1,1,0,5,24,0,1,0,43,4,0,0,0,2,0,20,5,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,15,34,0,0,0,0,0,0,0,0,0,17,5,0,1,0,0,4,12611,7114,0,0,0,0,1481,0,142,1529,497,73,74,2173,23521
Forestry And Logging ,2,282,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,239,0,20,0,0,1,0,0,0,0,37,9,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876,141,0,0,0,0,0,0,2,33,17,0,0,50,1069
Fishing And Aquaculture ,0,0,40,0,0,0,0,1,449,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,48,0,0,0,57,124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741,516,0,0,0,0,0,0,-43,427,280,23,24,754,1968
Mining Of Coal And Lignite ,0,0,0,24,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,342,63,0,0,0,0,7,0,1,0,0,5,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,4,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,197,0,0,0,0,0,0,5,33,7,0,0,40,723
Extraction Of Crude Petroleum And Natural Gas & Mining Of Metal Ores,0,0,0,0,589,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4558,4265,0,0,0,0,110,0,10,0,0,61,0,0,0,0,0,37,0,0,0,24,2,0,0,0,5,0,0,17,16,0,55,12,0,11,0,30,30,0,3,0,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9957,0,0,0,0,0,524,0,-378,10185,2637,0,0,12822,22925
Other Mining And Quarrying ,0,0,0,0,0,540,0,1,0,1,0,0,0,10,0,0,0,0,0,1,2,8,0,4,187,112,0,27,1,18,14,11,142,555,0,9,8,3,20,0,6,0,0,0,0,0,170,0,0,8,0,0,0,4,0,0,2470,0,132,28,9,39,0,0,28,0,8,44,0,7,0,7,1,0,0,0,2,0,0,1,3,0,5,11,1,3,0,6,10,14,3,0,4,0,0,0,0,2,1,7,3,2,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,4727,58,0,0,0,0,0,0,-155,370,136,0,0,506,5136
Mining Support Service Activities ,0,0,0,1,3003,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,0,52,0,0,34,0,0,0,0,0,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,36,28,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3485,0,0,0,0,0,139,0,-9,0,0,239,238,477,4092
Processing and preserving of meat and production of meat products,6,1,1,0,1,2,0,3479,10,23,9,11,181,275,172,10,3,0,2,70,1,2,1,5,1,2,1,1,25,3,7,5,4,2,33,2,0,4,47,1,9,7,0,3,0,1,2,0,1,8,8,4,2,0,5,0,13,7,167,310,5,16,3,2,7,7,278,642,1,7,9,3,1,13,5,0,3,0,0,4,3,2,9,18,7,3,1,7,18,1,2,5,88,1,18,5,41,2,6,3,3,1,5,4,0,0,0,0,0,67,82,241,80,0,0,24,0,0,0,0,1,1,13,4,10,1,1,0,2,6736,7156,0,0,0,0,0,0,-137,1375,348,88,37,1848,15603
"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",18,0,0,0,6,1,3,66,693,11,157,82,258,281,55,61,101,3,2,0,3,4,4,6,2,4,1,1,24,8,2,6,6,3,27,4,0,1,6,3,13,12,2,4,1,2,2,0,1,4,8,4,0,1,5,0,34,25,347,963,12,31,9,19,39,46,523,1544,4,28,33,32,5,70,22,1,8,0,0,13,3,16,22,30,22,16,3,8,62,11,6,16,40,0,57,8,149,4,19,35,13,4,8,13,0,0,0,5,0,39,65,122,43,0,0,0,0,0,0,0,5,2,46,6,40,2,5,1,15,6740,1459,0,0,0,0,0,0,-10,746,258,40,17,1061,9250
Manufacture of vegetable and animal oils and fats,2,0,0,0,0,0,0,71,61,4,2,21,80,6,109,0,1,0,0,0,0,0,0,1,1,9,0,18,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,4,17,73,0,1,3,0,2,20,21,67,1,2,1,2,0,0,2,0,1,0,0,2,2,9,1,6,2,6,0,2,18,1,1,4,7,0,13,3,204,1,1,1,1,1,0,0,0,0,0,0,0,1,0,10,14,0,0,0,0,0,0,0,0,0,11,2,82,1,0,0,1,1022,82,0,0,0,0,0,0,-1,280,50,3,1,334,1437
