"PRODUCT","CROP AND ANIMAL PRODUCTION, HUNTING AND RELATED SERVICE ACTIVITIES","FORESTRY AND LOGGING","FISHING AND AQUACULTURE","MINING OF COAL AND LIGNITE","EXTRACTION OF CRUDE PETROLEUM AND NATURAL GAS & MINING OF METAL ORES","OTHER MINING AND QUARRYING","MINING SUPPORT SERVICE ACTIVITIES","PROCESSING AND PRESERVING OF MEAT AND PRODUCTION OF MEAT PRODUCTS","PROCESSING AND PRESERVING OF FISH, CRUSTACEANS, MOLLUSCS, FRUIT AND VEGETABLES","MANUFACTURE OF VEGETABLE AND ANIMAL OILS AND FATS","MANUFACTURE OF DAIRY PRODUCTS","MANUFACTURE OF GRAIN MILL PRODUCTS, STARCHES AND STARCH PRODUCTS","MANUFACTURE OF BAKERY AND FARINACEOUS PRODUCTS","MANUFACTURE OF OTHER FOOD PRODUCTS","MANUFACTURE OF PREPARED ANIMAL FEEDS","MANUFACTURE OF ALCOHOLIC BEVERAGES & TOBACCO PRODUCTS","MANUFACTURE OF SOFT DRINKS; PRODUCTION OF MINERAL WATERS AND OTHER BOTTLED WATERS","MANUFACTURE OF TEXTILES","MANUFACTURE OF WEARING APPAREL","MANUFACTURE OF LEATHER AND RELATED PRODUCTS","MANUFACTURE OF WOOD & PRODUCTS OF WOOD & CORK, EXCEPT FURNITURE; MANUF. OF ARTICLES OF STRAW","MANUFACTURE OF PAPER AND PAPER PRODUCTS","PRINTING AND REPRODUCTION OF RECORDED MEDIA","MANUFACTURE OF COKE AND REFINED PETROLEUM PRODUCTS","MANUFACTURE OF INDUSTRIAL GASES, INORGANICS AND FERTILISERS (INORGANIC CHEMICALS) - 20.11/13/15","MANUFACTURE OF PETROCHEMICALS - 20.14/16/17/60","MANUFACTURE OF DYESTUFFS, AGRO-CHEMICALS - 20.12/20","MANUFACTURE OF PAINTS, VARNISHES AND SIMILAR COATINGS, PRINTING INK AND MASTICS","MANUFACTURE OF SOAP & DETERGENTS, CLEANING & POLISHING, PERFUMES & TOILET PREPARATIONS","MANUFACTURE OF OTHER CHEMICAL PRODUCTS","MANUFACTURE OF BASIC PHARMACEUTICAL PRODUCTS AND PHARMACEUTICAL PREPARATIONS","MANUFACTURE OF RUBBER AND PLASTIC PRODUCTS","MANUFACTURE OF GLASS, REFRACTORY, CLAY, PORCELAIN, CERAMIC, STONE PRODUCTS - 23.1-4/7-9","MANUFACTURE OF CEMENT, LIME, PLASTER AND ARTICLES OF CONCRETE, CEMENT AND PLASTER","MANUFACTURE OF BASIC IRON AND STEEL","MANUFACTURE OF OTHER BASIC METALS AND CASTING","MANUFACTURE OF FABRICATED METAL PRODUCTS, EXCLUDING WEAPONS & AMMUNITION - 25.1-3/5-9","MANUFACTURE OF WEAPONS AND AMMUNITION","MANUFACTURE OF COMPUTER, ELECTRONIC AND OPTICAL PRODUCTS","MANUFACTURE OF ELECTRICAL EQUIPMENT","MANUFACTURE OF MACHINERY AND EQUIPMENT N.E.C.","MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-TRAILERS","BUILDING OF SHIPS AND BOATS","MANUFACTURE OF AIR AND SPACECRAFT AND RELATED MACHINERY","MANUFACTURE OF OTHER TRANSPORT EQUIPMENT - 30.2/4/9","MANUFACTURE OF FURNITURE","OTHER MANUFACTURING","REPAIR AND MAINTENANCE OF SHIPS AND BOATS","REPAIR AND MAINTENANCE OF AIRCRAFT AND SPACECRAFT","REST OF REPAIR; INSTALLATION - 33.11-14/17/19/20","ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","MANUFACTURE OF GAS; DISTRIBUTION OF GASEOUS FUELS THROUGH MAINS; STEAM AND AIRCON SUPPLY","WATER COLLECTION, TREATMENT AND SUPPLY","SEWERAGE","WASTE COLLECTION, TREATMENT AND DISPOSAL ACTIVITIES; MATERIALS RECOVERY","REMEDIATION ACTIVITIES AND OTHER WASTE MANAGEMENT SERVICES","CONSTRUCTION","WHOLESALE AND RETAIL TRADE AND REPAIR OF MOTOR VEHICLES AND MOTORCYCLES","WHOLESALE TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES","RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES","RAIL TRANSPORT","LAND TRANSPORT SERVICES AND TRANSPORT SERVICES VIA PIPELINES, EXCLUDING RAIL TRANSPORT","WATER TRANSPORT","AIR TRANSPORT","WAREHOUSING AND SUPPORT ACTIVITIES FOR TRANSPORTATION","POSTAL AND COURIER ACTIVITIES","ACCOMMODATION","FOOD AND BEVERAGE SERVICE ACTIVITIES","PUBLISHING ACTIVITIES","MOTION PICTURE, VIDEO & TV PROGRAMME PRODUCTION, SOUND RECORDING & MUSIC PUBLISHING ACTIVITIES & PROGRAMMING AND BROADCASTING ACTIVITIES","TELECOMMUNICATIONS","COMPUTER PROGRAMMING, CONSULTANCY AND RELATED ACTIVITIES","INFORMATION SERVICE ACTIVITIES","FINANCIAL SERVICE ACTIVITIES, EXCEPT INSURANCE AND PENSION FUNDING","INSURANCE, REINSURANCE AND PENSION FUNDING SERVICES, EXCEPT COMPULSORY SOCIAL SECURITY","ACTIVITIES AUXILIARY TO FINANCIAL SERVICES AND INSURANCE ACTIVITIES","BUYING AND SELLING, RENTING AND OPERATING OF OWN OR LEASED REAL ESTATE, EXCLUDING IMPUTED RENT","OWNER-OCCUPIERS' HOUSING","REAL ESTATE SERVICES ON A FEE OR CONTRACT BASIS","LEGAL ACTIVITIES","ACCOUNTING, BOOKKEEPING AND AUDITING ACTIVITIES; TAX CONSULTANCY","ACTIVITIES OF HEAD OFFICES; MANAGEMENT CONSULTANCY ACTIVITIES","ARCHITECTURAL AND ENGINEERING ACTIVITIES; TECHNICAL TESTING AND ANALYSIS","SCIENTIFIC RESEARCH AND DEVELOPMENT","ADVERTISING AND MARKET RESEARCH","OTHER PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","VETERINARY ACTIVITIES","RENTAL AND LEASING ACTIVITIES","EMPLOYMENT ACTIVITIES","TRAVEL AGENCY, TOUR OPERATOR AND OTHER RESERVATION SERVICE AND RELATED ACTIVITIES","SECURITY AND INVESTIGATION ACTIVITIES","SERVICES TO BUILDINGS AND LANDSCAPE ACTIVITIES","OFFICE ADMINISTRATIVE, OFFICE SUPPORT AND OTHER BUSINESS SUPPORT ACTIVITIES","PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY","EDUCATION","HUMAN HEALTH ACTIVITIES","RESIDENTIAL CARE & SOCIAL WORK ACTIVITIES","CREATIVE, ARTS AND ENTERTAINMENT ACTIVITIES","LIBRARIES, ARCHIVES, MUSEUMS AND OTHER CULTURAL ACTIVITIES","GAMBLING AND BETTING ACTIVITIES","SPORTS ACTIVITIES AND AMUSEMENT AND RECREATION ACTIVITIES","ACTIVITIES OF MEMBERSHIP ORGANISATIONS","REPAIR OF COMPUTERS AND PERSONAL AND HOUSEHOLD GOODS","OTHER PERSONAL SERVICE ACTIVITIES","ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS OF DOMESTIC PERSONNEL","WASTE COLLECTION, TREATMENT AND DISPOSAL ACTIVITIES; MATERIALS RECOVERY NON-MARKET","LAND TRANSPORT SERVICES AND TRANSPORT SERVICES VIA PIPELINES, EXCLUDING RAIL TRANSPORT NON-MARKET","WAREHOUSING AND SUPPORT ACTIVITIES FOR TRANSPORTATION NON-MARKET","MOTION PICTURE, VIDEO & TV PROGRAMME PRODUCTION, SOUND RECORDING & MUSIC PUBLISHING ACTIVITIES & PROGRAMMING AND BROADCASTING ACTIVITIES NON-MARKET","PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY NON-MARKET","EDUCATION NON-MARKET","HUMAN HEALTH ACTIVITIES NON-MARKET","RESIDENTIAL CARE & SOCIAL WORK ACTIVITIES NON-MARKET","CREATIVE, ARTS AND ENTERTAINMENT ACTIVITIES NON-MARKET","LIBRARIES, ARCHIVES, MUSEUMS AND OTHER CULTURAL ACTIVITIES NON-MARKET","SPORTS ACTIVITIES AND AMUSEMENT AND RECREATION ACTIVITIES NON-MARKET","FINANCIAL SERVICES NPISH","REAL ESTATE SERVICES NPISH","LEGAL SERVICES NPISH","SCIENTIFIC RESEARCH AND DEVELOPMENT NPISH","VETERINARY ACTIVITIES NPISH","SERVICES TO BUILDINGS AND LANDSCAPE ACTIVITIES NPISH","EDUCATION NPISH","HUMAN HEALTH ACTIVITIES NPISH","RESIDENTIAL CARE & SOCIAL WORK ACTIVITIES NPISH","CREATIVE, ARTS AND ENTERTAINMENT ACTIVITIES NPISH","LIBRARIES, ARCHIVES, MUSEUMS AND OTHER CULTURAL SERVICES NPISH"
"DWELLINGS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240159,488017,23790,0,0,0,0,0,0,0,0,0,0,0,29764,97770,195999,1061,9503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12256,0,0,0,0,0,0,971,0,0,0,0,4634,0,0,0,0
"OTHER BUILDINGS AND STRUCTURES",290962,870,2375,766,23897,5814,3715,4430,2437,250,2164,1383,2488,4604,1456,2768,1173,828,704,154,887,986,8752,3891,731,2680,477,615,1237,973,11343,9721,1441,1683,2320,2449,5076,669,3032,1042,43539,19251,824,4767,717,3228,3344,1817,5353,9987,67195,18885,14778,9785,16472,408,3316918,2706,5826,325085,8056,30834,44,935,85614,280,35327,97094,2331,103,46731,5358,717,173317,22689,10180,10009,20340,991,3237,2251,3943,1558,6209,1442,889,148,1725,2478,3157,1754,5763,11553,151,69210,16641,0,512,105,941,3864,1536,55,13465,0,9637,349,3383,11,309700,89257,55275,519,1,103,1533,103,40,2147483647,345,71,29,33753,3411,193,129,149
"TRANSPORT EQUIPMENT",18428,51,1137,19,607,147,94,49,27,2,24,15,27,51,16,31,13,21,18,4,64,12,167,9,7,27,4,6,12,10,48,165,24,28,7,7,166,21,16,9,549,176,82,475,71,192,199,78,231,431,411,115,42,311,524,13,56112,458,986,1853,1569,6008,241,21852,333,651,89,247,41,0,241,66,8,838,0,0,848,1723,84,216,150,263,207,137,63,86,14,9344,87,869,86,284,570,1959,4432,97,0,2,0,4,8,49,2,1247,0,306,68,659,0,1207,5717,322,6,0,0,3,0,3,2147483647,7,6,0,2161,19,2,0,0
"COMPUTER HARDWARE",16,0,0,0,29,7,4,30,16,1,15,9,17,31,10,19,8,9,7,1,8,13,179,9,5,18,3,4,8,6,84,143,9,10,4,4,132,17,56,13,533,215,28,165,24,75,78,27,79,148,92,26,87,32,54,1,6078,50,108,6064,339,1299,1,100,706,84,215,590,214,5,2948,1666,223,1366,1,0,132,268,13,381,265,465,170,188,184,89,14,110,233,114,79,262,525,460,1243,363,0,4,0,7,35,40,15,678,0,32,14,142,0,2555,1604,1208,6,0,0,14,0,0,2147483647,10,7,0,606,74,2,1,1
"TELECOMMUNICATIONS EQUIPMENT",0,0,0,0,1,0,0,10,6,0,5,3,6,11,3,6,2,2,2,0,1,1,35,11,1,4,0,1,2,1,9,37,2,2,1,1,26,3,13,1,254,26,18,106,16,19,20,1,3,7,84,23,12,19,32,0,1027,18,40,2645,4,18,0,9,124,0,155,427,21,2,25818,132,17,163,0,0,55,113,5,66,46,80,34,220,50,11,1,181,65,7,28,93,187,0,415,33,0,1,0,2,21,29,2,526,0,19,0,1,0,449,535,109,1,0,0,8,0,0,2147483647,12,0,0,202,6,0,0,0
"ICT EQUIPMENT",16,0,0,0,31,7,4,41,22,2,20,13,23,43,13,26,11,11,9,2,10,15,215,22,6,23,4,5,10,8,93,180,11,13,5,6,158,20,70,14,788,242,47,272,41,95,99,28,83,156,177,50,100,51,87,2,7106,69,149,8710,344,1317,1,109,830,84,370,1018,236,7,28766,1799,240,1530,2,0,187,381,18,448,311,545,205,409,234,100,16,292,299,121,108,356,714,461,1659,396,0,5,1,9,56,70,17,1205,0,51,14,144,0,3005,2139,1317,7,0,1,22,0,0,2147483647,22,8,0,809,81,2,1,1
"CULTIVATED BIOLOGICAL RESOURCES",122507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RESEARCH & DEVELOPMENT",715,1,2,2,71,17,11,181,99,10,88,56,101,188,59,113,48,20,17,3,9,26,135,57,140,516,91,118,238,187,14289,922,91,106,76,80,466,61,1714,145,16352,11241,932,5392,812,496,514,422,1244,2321,187,52,7,4,7,0,2584,57,124,1621,0,2,0,3,32,17,44,122,146,0,3498,1402,187,3223,15,6,5,11,0,351,244,427,421,6717,28,47,7,118,244,18,83,273,547,966,6815,635,0,4,0,8,57,5,4,47,0,4,0,0,0,116,8789,2109,1,0,0,22,0,0,2147483647,373,3,0,3323,130,0,1,1
"COMPUTER SOFTWARE AND DATABASES",243,49,0,5,179,43,27,182,100,10,88,56,102,189,59,113,48,30,26,5,39,100,757,209,30,110,19,25,50,39,813,940,54,64,57,60,417,55,97,19,7475,1077,158,916,138,534,553,366,1078,2013,1402,394,115,37,63,1,10707,85,183,11401,36,139,10,916,1001,649,194,535,1481,6,9472,2155,288,17072,0,0,103,209,10,713,495,868,351,1062,422,129,21,227,1203,393,199,656,1316,647,1344,126,0,5,1,10,48,155,67,816,0,37,1,15,0,3622,1733,421,8,0,1,19,0,0,2147483647,59,10,0,655,26,3,1,1
"INTELLECTUAL PROPERTY PRODUCTS",959,50,2,76,2396,583,372,363,200,20,177,113,204,377,119,227,96,51,43,9,49,126,892,267,170,626,111,143,289,227,15103,1862,146,171,133,140,884,116,1812,165,23827,12319,1090,6309,950,1030,1067,789,2323,4335,1590,446,122,41,70,1,13292,143,308,13022,37,142,10,919,1033,667,239,658,9946,261,12970,3557,476,20296,16,7,108,221,10,1064,740,1296,772,7780,450,176,29,345,1447,411,283,929,1864,1614,8159,762,0,47,9,87,106,161,71,864,0,41,1,15,28,3738,10523,2531,9,3,9,42,0,0,2147483647,432,14,0,3979,156,3,12,13
"MACHINERY, EQUIPMENT AND WEAPONS SYSTEMS",199830,190,1150,240,7510,1827,1167,4837,2661,273,2362,1510,2717,5027,1590,3022,1281,530,451,99,828,2384,18866,3143,835,3063,546,703,1414,1112,17429,14587,1783,2083,4021,4245,9680,1277,2477,603,36406,38408,962,5569,838,4352,4508,1475,4345,8108,30838,8667,4978,1923,3237,80,190337,1404,3025,115384,3552,13597,278,23624,5659,3289,7013,19276,2037,21,48728,4975,665,170181,582,261,7525,15293,745,1957,1361,2383,1425,3794,733,611,101,15565,1641,1468,724,2380,4773,13553,7402,1890,0,61,12,112,565,289,62,7197,0,1894,154,1492,2,20471,9546,6280,96,0,12,224,2,30,2147483647,211,49,5,3610,387,36,15,17
"OTHER MACHINERY, EQUIPMENT AND WEAPONS SYSTEMS",181385,139,12,220,6872,1672,1068,4746,2611,268,2318,1482,2665,4932,1560,2965,1257,497,422,92,753,2356,18483,3112,821,3012,536,691,1390,1093,17287,14240,1747,2041,4008,4231,9355,1234,2389,579,35068,37989,833,4822,726,4064,4210,1368,4030,7520,30250,8501,4834,1559,2625,65,127118,877,1889,104821,1638,6272,34,1662,4495,2553,6553,18010,1758,13,19720,3109,416,167812,579,260,6489,13187,642,1292,899,1574,1012,3247,435,424,70,5929,1255,477,529,1740,3488,11133,1310,1396,0,53,11,98,499,169,42,4744,0,1536,71,688,1,16260,1690,4639,83,0,10,198,2,26,2147483647,180,34,4,639,286,31,13,15
"TOTAL ASSETS",614243,1112,3528,1084,33803,8225,5255,9632,5299,544,4704,3008,5409,10009,3166,6018,2551,1409,1198,263,1765,3497,28512,7303,1737,6370,1135,1462,2941,2313,43875,26172,3371,3938,6475,6835,15641,2063,7321,1811,103773,69979,2877,16646,2506,8611,8921,4082,12022,22430,99624,27999,19878,11750,19780,490,4493196,4254,9160,453493,11646,44575,333,25479,92307,4238,42580,117028,14315,386,108430,13890,1859,363795,23287,10449,257804,523873,25537,6259,4353,7622,3757,17782,2626,1677,279,17636,5567,5038,32526,106844,214189,16380,94277,19294,0,621,128,1141,4535,1987,189,21528,0,11572,505,4891,42,333910,121585,64087,626,5,125,1800,106,1042,2147483647,988,134,35,45978,3955,233,156,180
"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
